Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,83,7,Some Random Commen with Id 0
1,0,8,103,5,Some Random Commen with Id 1
2,0,8,178,1,Some Random Commen with Id 2
3,0,8,112,4,Some Random Commen with Id 3
4,1,7,95,2,Some Random Commen with Id 4
5,1,7,110,1,Some Random Commen with Id 5
6,1,7,136,8,Some Random Commen with Id 6
7,2,3,91,9,Some Random Commen with Id 7
8,3,9,61,2,Some Random Commen with Id 8
9,3,9,91,8,Some Random Commen with Id 9
10,3,9,39,6,Some Random Commen with Id 10
11,3,9,4,9,Some Random Commen with Id 11
12,3,9,46,9,Some Random Commen with Id 12
13,3,9,158,1,Some Random Commen with Id 13
14,3,9,49,0,Some Random Commen with Id 14
15,3,9,23,6,Some Random Commen with Id 15
16,4,8,78,1,Some Random Commen with Id 16
17,4,8,43,9,Some Random Commen with Id 17
18,4,8,193,8,Some Random Commen with Id 18
19,4,8,186,8,Some Random Commen with Id 19
20,4,8,142,2,Some Random Commen with Id 20
21,4,8,119,2,Some Random Commen with Id 21
22,4,8,1,7,Some Random Commen with Id 22
23,4,8,66,9,Some Random Commen with Id 23
24,4,8,5,0,Some Random Commen with Id 24
25,5,3,126,4,Some Random Commen with Id 25
26,5,3,15,5,Some Random Commen with Id 26
27,5,3,170,7,Some Random Commen with Id 27
28,5,3,73,7,Some Random Commen with Id 28
29,5,3,168,0,Some Random Commen with Id 29
30,5,3,121,8,Some Random Commen with Id 30
31,6,2,5,9,Some Random Commen with Id 31
32,6,2,2,4,Some Random Commen with Id 32
33,6,2,43,7,Some Random Commen with Id 33
34,6,2,195,7,Some Random Commen with Id 34
35,6,2,123,8,Some Random Commen with Id 35
36,6,2,179,9,Some Random Commen with Id 36
37,6,2,6,6,Some Random Commen with Id 37
38,6,2,145,5,Some Random Commen with Id 38
39,7,2,95,1,Some Random Commen with Id 39
40,7,2,57,0,Some Random Commen with Id 40
41,7,2,90,5,Some Random Commen with Id 41
42,7,2,25,6,Some Random Commen with Id 42
43,7,2,98,1,Some Random Commen with Id 43
44,7,2,3,3,Some Random Commen with Id 44
45,8,0,90,9,Some Random Commen with Id 45
46,8,0,181,5,Some Random Commen with Id 46
47,8,0,190,1,Some Random Commen with Id 47
48,8,0,167,1,Some Random Commen with Id 48
49,8,0,66,2,Some Random Commen with Id 49
50,8,0,78,2,Some Random Commen with Id 50
51,9,8,29,5,Some Random Commen with Id 51
52,9,8,116,3,Some Random Commen with Id 52
53,9,8,28,0,Some Random Commen with Id 53
54,9,8,160,2,Some Random Commen with Id 54
55,9,8,115,4,Some Random Commen with Id 55
56,9,8,40,1,Some Random Commen with Id 56
57,9,8,137,3,Some Random Commen with Id 57
58,9,8,123,6,Some Random Commen with Id 58
59,9,8,81,9,Some Random Commen with Id 59
60,10,8,174,7,Some Random Commen with Id 60
61,10,8,49,8,Some Random Commen with Id 61
62,10,8,53,4,Some Random Commen with Id 62
63,10,8,137,9,Some Random Commen with Id 63
